exercise	original_topic	assigned_topic
py_range2_2	5	5
py_write_squares_odd	5	5
py_write_squares_range	5	5
ps_python_nested_loops	6	4
py_repeated_sequence	6	5
py_star_patterns	6	5
q_py_topic_loops:q_py_nested_while1	6	4
py_repeated_sequence2	6	5
py_stars_2	6	5
ps_simple_function	7	7
ps_simple_params	7	7
ps_return_bigger_or_none	7	-1
ps_python_calculate_function	7	7
ps_python_nested_calls	7	7
ps_python_recursive_factorial	7	7
ps_python_modulo_is_even	7	7
ae_adl_functions1	7	7
ae_adl_returnvalue	7	9
ae_adl_functions2	7	7
ae_adl_functions3	7	7
ae_adl_recursion	7	7
q_py_topic_functions:q_py_fun_car1	7	7
q_py_topic_functions:q_py_fun_car2	7	7
ps_python_list_iteration_zoo	8	8
ae_adl_strings	8	8
ae_adl_lists2	8	8
ae_adl_lists3	8	8
ae_adl_findmax	8	8
py_list_basic	8	8
py_list_change	8	8
py_list_fill	8	8
py_list_min_max	8	8
py_list_rotate	8	8
py_list_process_elements	8	8
py_search_list	8	8
py_temperature	8	8
q_py_topic_lists:q_py_add_two_lists1	8	8
q_py_topic_lists:q_py_list_access1	8	8
q_py_topic_lists:q_py_list_access2	8	8
q_py_topic_lists:q_py_list_append1	8	8
q_py_topic_lists:q_py_list_remove1	8	-1
py_list_basic2	8	8
py_list_swap_adjacent_elements	8	8
py_list_fill_user_input	8	8
py_list_min	8	8
py_list_rotate_left_twice	8	8
py_average_list_elements	8	8
py_search_list_total_count	8	8
py_temperature_list_days_above_threshold	8	9
py_list_basic3	8	8
py_list_rotate_right	8	8
py_search_list_count_each	8	8
py_list_rotate_right_twice	8	8
ps_python_string_indexing	9	9
ps_python_string_join	9	-1
ae_adl_lists1	9	8
ae_adl_format1	9	7
ae_adl_format2	9	7
py_concat_str_num	9	8
py_concat_char_two_str	9	9
py_str_repeat_chars	9	7
py_str_count	9	9
q_py_topic_output_formatting:q_py_output1	9	7
q_py_topic_output_formatting:q_py_output2	9	7
q_py_topic_output_formatting:q_py_output3	9	7
q_py_topic_output_formatting:q_py_output4	9	7
q_py_topic_strings:q_py_concat_strings1	9	4
q_py_topic_strings:q_py_substring1	9	9
py_concat_str_num2	9	8
py_concat_char_two_str2	9	9
py_str_count2	9	9
py_concat_string_num3	9	8
py_str_repeat2	9	8
ps_python_dict_keys	10	10
ps_python_dict_values	10	10
ps_python_list_to_dict	10	-1
ps_python_dict_filter	10	-1
ae_adl_dict1	10	10
ae_adl_dict2	10	10
ae_adl_dict3	10	10
q_py_topic_dictionary:q_py_dict_access1	10	10
q_py_topic_dictionary:q_py_dict_access2	10	10
py_char_dict	10	10
py_student_score	10	10
py_score_dict2	10	10
py_first_char_words_dict	10	12
ps_python_add_to_list	11	8
ae_adl_vals_refs1	11	7
ae_adl_vals_refs2	11	8
ae_adl_vals_refs3	11	8
q_py_topic_references:q_py_int_ref1	11	7
q_py_topic_references:q_py_list_int_ref1	11	8
q_py_topic_references:q_py_list_str_ref1	11	11
q_py_topic_references:q_py_str_ref1	11	11
ps_python_try_except	12	-1
ps_python_try_adding	12	-1
ae_adl_tryexcept1	12	12
ae_adl_tryexcept2	12	12
py_check_product_code	12	12
q_py_topic_exceptions:q_py_list_except1	12	12
q_py_topic_exceptions:q_py_value_except1	12	12
py_check_product_code2	12	12
py_check_age	12	12
py_check_age2	12	12
ps_python_printing_file_contents	13	13
ae_adl_file1	13	13
ae_adl_file2	13	-1
py_work_hours	13	13
q_py_topic_file_processing:q_py_file1	13	-1
py_work_hours2	13	13
py_file_input_stat	13	13
py_input_stat2	13	13
ps_python_class_person	14	14
ps_python_class_point	14	-1
ae_adl_objects1	14	14
ae_adl_objects2	14	14
ae_adl_objects3	14	14
q_topic_classes_objects:q_py_inheritance_animal1	14	14
q_topic_classes_objects:q_py_obj_account1	14	14
q_topic_classes_objects:q_py_obj_bus1	14	14
q_topic_classes_objects:q_py_obj_car1	14	14
q_topic_classes_objects:q_py_obj_car2	14	14
q_topic_classes_objects:q_py_obj_point1	14	14
q_topic_classes_objects:q_py_obj_student1	14	14
objects_classes_point	14	14
objects_classes_tv	14	-1
objects_classes_account	14	14
objects_classes_loan	14	-1
py_loan2	14	14
py_tv2	14	14
py_point2	14	14
py_account2	14	14
ps_python_nested_lists_indexing	15	8
ps_python_2d_list	15	8
py_list2d_basic	15	8
py_print_medals	15	8
py_soda_survey	15	8
q_py_topic_two_dimensional_array:q_py_2d_arrays1	15	8
q_py_topic_two_dimensional_array:q_py_2d_arrays2	15	8
q_py_topic_two_dimensional_array:q_py_2d_arrays3	15	8
q_py_topic_two_dimensional_array:q_py_2d_arrays4	15	8
py_list2d_basic2	15	8
py_print_medals_row_column_total	15	8
py_soda_survey_soda_avg	15	8
py_list2d_basic3	15	8
py_soda_survey_soda_respondent_avg	15	8
