topic,activity,Syntax-Ontology_Expert,Educational-Ontology_Expert,AST_Parser,Syntax-Ontology_LLM,Educational-Ontology_LLM,Free-Form_LLM
1,py_f_to_c_conversion,"print,IntegerLiteral,int,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","Multiplication,TransformingToIntType,Addition,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Division","Sub,Int,Add,Call,Str,Div,Assign,Mult","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,int,print","Addition,ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,HandlingFloat,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,Multiplication,Printing,Python,TransformingToFloatType,TransformingToIntType,TransformingToStringType","input and output operations,variable manipulation,arithmetic operations,numerical types,type conversion"
1,py_vending_machine,"print,IntegerLiteral,int,input,BinaryOperation,Modulus,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","Multiplication,TransformingToIntType,FindRemainder,AssigningValueVariable,HandlingInput,CallingLibraryFunction,ChangingValueVariable,Printing,Division,Substraction","Sub,Int,FloorDiv,Call,Str,Assign,Mult,Mod","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,FindRemainder,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,Multiplication,Printing,Python,ReadingLine,Substraction,TransformingToIntType,UpdatingVariable","input and output operations,type conversion,variable manipulation,arithmetic operations"
1,q_py_topic_variables:q_py_arithmetic1,"print,IntegerLiteral,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,UnaryOperation","Division,AssigningValueVariable,Printing,CallingLibraryFunction,Substraction","Assign,Call,Constant,FloorDiv,Sub","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,HandlingFunction,HandlingStandardFunction,ManagingVariable,Printing,Python,Substraction,UpdatingVariable","number formatting,string operations,function call,numerical types"
1,q_py_topic_variables:q_py_arithmetic2,"IntegerLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","Power,Addition,AssigningValueVariable,Multiplication","Add,Assign,Constant,Mult,Pow","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,ExpressionStatement,IntegerLiteral,NumericLiteral,Operator,SimpleAssignmentStatement,Statement","Addition,ArithmeticOperation,AssigningVariable,ManagingVariable,Multiplication,Power","numerical types,variable manipulation,arithmetic operations"
1,q_py_topic_variables:q_py_exchange1,"FloatLiteral,IntegerLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","AssigningValueVariable,Multiplication,Substraction","Assign,Constant,Mult,Sub","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,ExpressionStatement,FloatLiteral,IntegerLiteral,NumericLiteral,Operator,SimpleAssignmentStatement,Statement","ArithmeticOperation,AssigningVariable,HandlingFloat,ManagingVariable,Multiplication,Substraction,TransformingToFloatType,UpdatingVariable","numerical types,variable manipulation,arithmetic operations"
1,q_py_topic_variables:q_py_exchange2,"FloatLiteral,IntegerLiteral,int,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","TransformingToIntType,Division,AssigningValueVariable,CallingLibraryFunction,Substraction","Assign,Call,Constant,Div,Sub","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,IntegerLiteral,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,int","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,HandlingFloat,HandlingFunction,HandlingInteger,HandlingStandardFunction,ManagingVariable,Substraction,TransformingToFloatType,TransformingToIntType,UpdatingVariable","numerical types,variable manipulation,arithmetic operations,string operations"
1,q_py_topic_variables:q_py_swap1,"print,IntegerLiteral,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","Addition,AssigningValueVariable,CallingLibraryFunction,SwappingValueVariables,Printing","Add,Assign,Call,Constant,USub","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,print","Addition,ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,HandlingFunction,ManagingVariable,Printing,Python,SwappingVariablesValue,UpdatingVariable","method parameter,function call,min/max function usage,object-oriented programming fundamentals,variable manipulation,arithmetic operations,comparison operation,return and output"
1,py_display_time2,"print,IntegerLiteral,int,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,Modulus","TransformingToIntType,FindRemainder,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Division","Assign,Call,Constant,FloorDiv,Mod","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,FindRemainder,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,UpdatingVariable","function call,input and output operations,variable manipulation,arithmetic operations,type conversion,string operations"
1,py_bmi_calculator2,"round,print,IntegerLiteral,float,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","TransformingToFloatType,Multiplication,AssigningValueVariable,HandlingInput,CallingLibraryFunction,ChangingValueVariable,Printing,Power,Division,Round","Assign,Call,Constant,Div,Mult,Pow","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,print,round","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,HandlingFloat,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,Multiplication,Power,Printing,Python,Round,TransformingToFloatType,TransformingToIntType,TransformingToStringType,UpdatingVariable","number formatting,function call,input and output operations,variable manipulation,arithmetic operations,numerical types"
1,py_pythagorean_theorem2,"FloatLiteral,print,input,float,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral","TransformingToFloatType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Power,Substraction","Assign,Call,Constant,Pow,Sub","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,ManagingVariable,Power,Printing,Python,ReadingLine,Substraction,TransformingToFloatType,UpdatingVariable","function call,variable manipulation,arithmetic operations,mathematical functions,numerical types,mathematical computation,string operations"
1,py_fahrenheit_to_celsius,"print,IntegerLiteral,int,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","Multiplication,TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Division,CreatingString,Substraction","Assign,Call,Constant,Div,Mult,Sub","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,ManagingVariable,Multiplication,Printing,Python,ReadingLine,Substraction,TransformingToFloatType,TransformingToIntType,TransformingToStringType","input and output operations,variable manipulation,arithmetic operations,type conversion,programming syntax elements"
1,py_vending_machine2,"print,IntegerLiteral,int,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,Modulus","Multiplication,TransformingToIntType,FindRemainder,AssigningValueVariable,HandlingInput,CallingLibraryFunction,ChangingValueVariable,Printing,Division,Substraction","Assign,Call,Constant,FloorDiv,Mod,Mult,Sub","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FunctionCall,IntegerLiteral,Literal,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,Division,FindRemainder,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,ManagingVariable,Multiplication,Printing,Python,ReadingLine,Substraction,TransformingToIntType,UpdatingVariable","input and output operations,variable manipulation,arithmetic operations,data structure utilization"
2,ps_python_conditionals_temperature,"print,LessOrEqual,IfElseStatement,Larger,ComparisonExpression,FunctionCall,StringLiteral,IfElifStatement,ExpressionStatement,BinaryOperation,IntegerLiteral","IfElifChecking,NestedIfChecking,Printing,CallingLibraryFunction,BooleanEvaluating","Int,Call,Str,LtE,If","BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElifElseStatement,IfElseStatement,IfStatement,IntegerLiteral,Larger,LessOrEqual,Literal,LogicalExpression,NumericLiteral,Statement,StringLiteral,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,HandlingFunction,IfChecking,IfElifChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,NestedIfChecking,Printing,Python","input and output operations,variable manipulation,conditional branching structures,type conversion,comparison operation,string operations"
2,ps_python_nested_ifs,"print,Less,LessOrEqual,IfElseStatement,ComparisonExpression,FunctionCall,StringLiteral,IfElifStatement,ExpressionStatement,BinaryOperation,IntegerLiteral","CallingLibraryFunction,BooleanEvaluating,Printing,IfElifChecking,NestedIfChecking","LtE,Int,Lt,Call,Str,Eq,If","BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElifStatement,IfElseStatement,IfStatement,IntegerLiteral,Less,LessOrEqual,Literal,LogicalExpression,NumericLiteral,Operator,Statement,StringLiteral,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFunction,HandlingStandardFunction,IfChecking,IfElifChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,NestedIfChecking,Printing,Python","input and output operations,variable manipulation,conditional branching structures,type conversion,comparison operation"
2,ae_adl_hiscore1,"print,IntegerLiteral,Larger,ComparisonExpression,IfStatement,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","IfChecking,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Call,Int,Gt,Str,Assign,If","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Larger,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,FindMaximum,HandlingFunction,IfChecking,ManagingVariable,Printing,Python,UpdatingVariable","conditional branching structures,value update and accumulation,comparison operation,variable manipulation,numerical types"
2,ae_adl_hiscore2,"print,IntegerLiteral,Larger,ComparisonExpression,IfStatement,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","IfChecking,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,Gt,Str,Call,Int,If","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Larger,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,FindMaximum,HandlingFunction,IfChecking,ManagingVariable,Printing,Python,UpdatingVariable","conditional branching structures,value update and accumulation,comparison operation,function call,numerical types"
2,ae_adl_ifelse,"print,IntegerLiteral,IfElseStatement,ComparisonExpression,Modulus,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","IfElseChecking,FindRemainder,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Eq,If,Assign,Str,Call,Int,Mod","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IntegerLiteral,Literal,LogicalExpression,Modulus,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,FindRemainder,HandlingFunction,HandlingStandardFunction,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python","conditional branching structures,comparison operation,variable manipulation,numerical types,arithmetic operations"
2,ae_adl_ifelifelse,"print,IntegerLiteral,IfElifElseStatement,Larger,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,Printing,IfElifElseChecking,CreatingString","Call,Gt,If,Assign,Int,Str","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElifElseStatement,IfElseStatement,IntegerLiteral,Larger,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,HandlingFunction,IfElifChecking,IfElifElseChecking,ManagingVariable,Printing,Python,UpdatingVariable","conditional branching structures,comparison operation,variable manipulation,function call,numerical types,string operations"
2,ae_adl_nested_if,"print,IntegerLiteral,Less,IfElseStatement,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","IfElseChecking,AssigningValueVariable,CallingLibraryFunction,BooleanEvaluating,Printing,NestedIfChecking,CreatingString","Call,GtE,Lt,Assign,Str,If,Int","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Larger,LargerOrEqual,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFunction,HandlingStandardFunction,IfElifElseChecking,IfElseChecking,ManagingVariable,NestedIfChecking,Printing,Python","comparison operation,conditional branching structures,variable manipulation,numerical types"
2,py_nested_if_min_max,"print,Less,int,IfElseStatement,input,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,NestedIfChecking","Gt,Lt,Call,Str,Assign,If","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,CreatingString,FindMinimum,HandlingFunction,HandlingInput,HandlingInteger,HandlingString,IfChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,NestedIfChecking,Printing,Python,TransformingToIntType,UpdatingVariable","input and output operations,variable manipulation,conditional branching structures,type conversion,comparison operation"
2,py_nested_if_temperature,"print,Less,float,Larger,input,ComparisonExpression,IfElseStatement,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","TransformingToFloatType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,NestedIfChecking","Gt,Lt,Call,Str,Assign,If","AssignmentStatement,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,Larger,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,HandlingString,IfChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,NestedIfChecking,Printing,Python,TransformingToFloatType,TransformingToStringType","input and output operations,variable manipulation,conditional branching structures,type conversion,comparison operation"
2,py_if_else_grade,"print,IfElifElseStatement,IntegerLiteral,int,input,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,IfElifElseChecking,CreatingString","GtE,Int,Call,Str,Eq,Assign,If","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElifElseStatement,IfElseStatement,IntegerLiteral,LargerOrEqual,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CreatingString,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,UpdatingVariable","input and output operations,comparison operation,string operations,conditional branching structures"
2,py_if_else_num,"print,IfElifElseStatement,Less,int,input,Larger,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,IntegerLiteral","TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,IfElifElseChecking","Gt,Int,Lt,Call,Str,Mod,Eq,Assign,If","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElifElseStatement,IfElseStatement,IntegerLiteral,Larger,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,IfElifChecking,IfElifElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType","function call,variable manipulation,arithmetic operations,conditional branching structures,numerical types,comparison operation"
