individual_name,bundle_name,type,topic,Syntax-Ontology_Expert,Educational-Ontology_Expert,AST_Parser,Syntax-Ontology_LLM,Educational-Ontology_LLM,Free-Form_LLM
py_pythagorean_theorem1,py_pythagorean_theorem,PCEX Example,Variables and Operations,"FloatLiteral,print,IntegerLiteral,float,input,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,UnaryOperation","TransformingToFloatType,Addition,HandlingInput,AssigningValueVariable,CallingLibraryFunction,Printing,Power","Assign,Pow,Constant,Add,Call","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,UnaryOperation,float,input,print","Addition,ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,HandlingString,ManagingVariable,Power,Printing,Python,ReadingLine,TransformingToFloatType,TransformingToStringType,UpdatingVariable","input and output operations,variable manipulation,arithmetic operatons,mathematical functions,type conversion"
py_pythagorean_theorem2,py_pythagorean_theorem,PCEX Challenge,Variables and Operations,"FloatLiteral,print,input,float,BinaryOperation,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral","TransformingToFloatType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,Printing,Power,Substraction","Assign,Pow,Constant,Sub,Call","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BuiltInFunction,Call,ExpressionStatement,FloatLiteral,FunctionCall,IntegerLiteral,Literal,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,print","ArithmeticOperation,AssigningVariable,CallingFunctionLibrary,CallingStandardFunction,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,ManagingVariable,Power,Printing,Python,ReadingLine,Substraction,TransformingToFloatType,UpdatingVariable","function call,variable manipulation,arithmetic operatons,mathematical functions,numerical types,mathematical computation,string operations"
py_ifelseif_grade1,py_if_else_grade,PCEX Example,If-Else,"print,IfElifElseStatement,IntegerLiteral,int,input,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement","TransformingToIntType,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,IfElifElseChecking,CreatingString","Assign,GtE,Constant,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElifElseStatement,IfElseStatement,IntegerLiteral,LargerOrEqual,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CreatingString,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,UpdatingVariable","input and output operations,comparison operation,string operations,Conditional Branching Structures"
py_ifelseif_grade2,py_if_else_grade,PCEX Challenge,If-Else,"print,IfElifElseStatement,input,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,IfElifElseChecking","Assign,Eq,Constant,If,Call","AssignmentStatement,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElifElseStatement,IfElseStatement,IfStatement,IntegerLiteral,LargerOrEqual,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingString,IfElifChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToStringType","input and output operations,comparison operation,string operations,Conditional Branching Structures"
py_if_else_wage1,py_if_else_wage,PCEX Example,If-Else,"print,int,input,Larger,ComparisonExpression,IfElseStatement,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,UnaryOperation,FloatLiteral,StringLiteral","Multiplication,TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,Addition,BooleanEvaluating,Printing,Substraction,CallingLibraryFunction","Gt,Assign,Constant,Sub,Mult,Add,If,Call","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Larger,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,FindMaximum,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Multiplication,NestedFunctionCall,Printing,Python,ReadingLine,Substraction,TransformingToIntType,TransformingToStringType,UpdatingVariable","input and output operations,variable manipulation,arithmetic operatons,Conditional Branching Structures,assignment patterns,comparison operation"
py_if_else_wage2,py_if_else_wage,PCEX Challenge,If-Else,"print,Less,int,AugmentedAssignmentStatement,Larger,IfElseStatement,ComparisonExpression,BinaryOperation,FunctionCall,SimpleAssignmentStatement,ExpressionStatement,FloatLiteral,StringLiteral,IntegerLiteral,input","Multiplication,TransformingToIntType,IfElseChecking,Addition,AssigningValueVariable,BooleanEvaluating,ChangingValueVariable,Printing,Substraction,CallingLibraryFunction,HandlingInput","Gt,Assign,Constant,Sub,Mult,AugAssign,Add,If,Lt,Call","ArithmeticExpression,ArtithmeticOperator,AssignmentStatement,AugmentedAssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Larger,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","Addition,ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CreatingList,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingList,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Multiplication,Printing,Python,ReadingLine,Substraction,TransformingToIntType,TransformingToStringType,UpdatingVariable","function call,input and output operations,variable manipulation,arithmetic operatons,Conditional Branching Structures,numerical types,comparison operation,string operations"
py_nested_if_temperature1,py_nested_if_temperature,PCEX Example,If-Else,"print,Less,float,Larger,input,ComparisonExpression,IfElseStatement,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","TransformingToFloatType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,NestedIfChecking","Gt,Assign,Constant,If,Lt,Call","AssignmentStatement,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElseStatement,IfStatement,Larger,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,HandlingString,IfChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,NestedIfChecking,Printing,Python,TransformingToFloatType,TransformingToStringType","input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_nested_if_temperature2,py_nested_if_temperature,PCEX Challenge,If-Else,"print,IfElifElseStatement,Less,float,input,Larger,ComparisonExpression,IfElseStatement,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","TransformingToFloatType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,NestedIfChecking,CreatingString","Gt,Assign,Constant,If,Lt,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FloatLiteral,FunctionCall,IfElifElseStatement,IfElseStatement,IfStatement,Larger,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,float,input,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFloat,HandlingFunction,HandlingInput,HandlingStandardFunction,HandlingString,IfChecking,IfElifChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,NestedIfChecking,Printing,Python,ReadingLine,TransformingToFloatType,TransformingToStringType,UpdatingVariable","function call,input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_nested_if_min_of_three,py_nested_if_min_max,PCEX Example,If-Else,"print,Less,int,IfElseStatement,input,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,NestedIfChecking","Assign,Constant,If,Lt,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Less,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,CreatingString,FindMinimum,HandlingFunction,HandlingInput,HandlingInteger,HandlingString,IfChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,NestedIfChecking,Printing,Python,TransformingToIntType,UpdatingVariable","input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_nested_if_max_of_three,py_nested_if_min_max,PCEX Challenge,If-Else,"print,int,IfElseStatement,Larger,input,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,NestedIfChecking","Gt,Assign,Constant,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Larger,Literal,LogicalExpression,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,print","ArithmeticOperation,AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,FindMaximum,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,IfElifElseChecking,IfElseChecking,ManagingVariable,NestedIfChecking,Printing,Python,ReadingLine,TransformingToIntType,UpdatingVariable","input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_fail_course1,py_fail_course,PCEX Example,Boolean Expressions,"or,print,Less,int,BooleanLiteral,input,Larger,IfElseStatement,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,IntegerLiteral,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Gt,Assign,Or,Constant,Eq,If,Lt,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Larger,Less,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,or,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_fail_course2,py_fail_course,PCEX Challenge,Boolean Expressions,"or,print,IntegerLiteral,Less,int,BooleanLiteral,input,IfElseStatement,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,Or,Eq,Constant,If,Lt,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Less,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,or,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,CreatingString,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfChecking,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,function call,input and output operations,variable manipulation,Conditional Branching Structures,numerical types,type conversion,comparison operation"
py_fail_course3,py_fail_course,PCEX Challenge,Boolean Expressions,"not,print,int,input,Larger,IfElseStatement,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,UnaryOperation,BooleanLiteral,ComparisonExpression,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Gt,Assign,Not,Constant,Eq,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Larger,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,UnaryOperation,input,int,not,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,TransformingToIntType,TransformingToStringType,UpdatingVariable","logical operators,input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_phone_age1,py_phone_age,PCEX Example,Boolean Expressions,"or,print,IntegerLiteral,int,BooleanLiteral,input,IfElseStatement,ComparisonExpression,LargerOrEqual,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,Or,Eq,Constant,GtE,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,LargerOrEqual,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,input,int,or,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CheckingCondition,CreatingString,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingString,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,TransformingToStringType,UpdatingVariable","boolean operation,input and output operations,variable manipulation,Conditional Branching Structures,type conversion,comparison operation"
py_phone_age2,py_phone_age,PCEX Challenge,Boolean Expressions,"not,or,print,IntegerLiteral,int,BooleanLiteral,input,IfElseStatement,ComparisonExpression,FunctionCall,StringLiteral,SimpleAssignmentStatement,ExpressionStatement,BinaryOperation,UnaryOperation,BooleanOperation","TransformingToIntType,IfElseChecking,AssigningValueVariable,HandlingInput,CallingLibraryFunction,BooleanEvaluating,Printing,CreatingString","Assign,Or,Not,Eq,Constant,If,Call","ArithmeticExpression,AssignmentStatement,BinaryOperation,BooleanExpression,BooleanLiteral,BuiltInFunction,Call,ComparisonExpression,ComparisonOperator,ConditionalStatement,ExpressionStatement,FunctionCall,IfElseStatement,IfStatement,IntegerLiteral,Literal,LogicalExpression,LogicalOperator,NumericLiteral,Operator,SimpleAssignmentStatement,Statement,StringLiteral,UnaryOperation,and,input,int,not,or,print","AssigningVariable,BooleanEvaluating,CallingFunctionLibrary,CallingStandardFunction,CheckingCondition,HandlingFile,HandlingFunction,HandlingInput,HandlingInteger,HandlingStandardFunction,IfElifElseChecking,IfElseChecking,ManagingVariable,Printing,Python,ReadingLine,TransformingToIntType,UpdatingVariable","logical operators,function call,boolean operation,variable manipulation,Conditional Branching Structures,numerical types,comparison operation,string operations"
